"prefecture_name","capital","region"
"北海道","札幌市","北海道・東北地方"
"青森県","青森市","北海道・東北地方"
"岩手県","盛岡市","北海道・東北地方"
"秋田県","秋田市","北海道・東北地方"
"宮城県","仙台市","北海道・東北地方"
"山形県","山形市","北海道・東北地方"
"福島県","福島市","北海道・東北地方"
"栃木県","宇都宮市","関東地方"
"群馬県","前橋市","関東地方"
"茨城県","水戸市","関東地方"
"千葉県","千葉市","関東地方"
"埼玉県","さいたま市","関東地方"
"東京都","新宿区","関東地方"
"神奈川県","横浜市","関東地方"
"山梨県","甲府市","中部地方"
"静岡県","静岡市","中部地方"
"愛知県","名古屋市","中部地方"
"三重県","津市","中部地方"
"長野県","長野市","中部地方"
"岐阜県","岐阜市","中部地方"
"新潟県","新潟市","中部地方"
"富山県","富山市","中部地方"
"福井県","福井市","中部地方"
"石川県","金沢市","中部地方"
"滋賀県","大津市","関西地方"
"京都府","京都市","関西地方"
"奈良県","奈良市","関西地方"
"和歌山県","和歌山市","関西地方"
"大阪府","大阪市","関西地方"
"兵庫県","神戸市","関西地方"
"岡山県","岡山市","中国・四国地方"
"鳥取県","鳥取市","中国・四国地方"
"島根県","松江市","中国・四国地方"
"広島県","広島市","中国・四国地方"
"山口県","山口市","中国・四国地方"
"香川県","高松市","中国・四国地方"
"愛媛県","松山市","中国・四国地方"
"徳島県","徳島市","中国・四国地方"
"高知県","高知市","中国・四国地方"
"福岡県","福岡市","九州・沖縄地方"
"佐賀県","佐賀市","九州・沖縄地方"
"長崎県","長崎市","九州・沖縄地方"
"大分県","大分市","九州・沖縄地方"
"熊本県","熊本市","九州・沖縄地方"
"宮崎県","宮崎市","九州・沖縄地方"
"鹿児島県","鹿児島市","九州・沖縄地方"
"沖縄県","那覇市","九州・沖縄地方"
